Club Name,District,Project Category,Project Title,Project Description
Chieti-Theate,Italy-San Marino,Community service,Il Giardino dei Giusti,"""L'obiettivo di istituire un Giardino dei Giusti in una scuola è quello di creare un luogo di memoria e riflessione, dedicato a coloro che, con coraggio e altruismo, hanno difeso i valori umani di fronte a ingiustizie e persecuzioni."""
Greater Gibraltar,Michigan,Community service,Water Safety Course,"""As a community with a lot of canals along the Detroit River and Lake Erie, Gibraltar is a big boating and water sport community. We have an annual water safety course in the spring to help kids understand how to be safe during their water based activities."""
Farmington Rio del Sol,Southwest,Community service,Dining With the Dead,"""Dining With the Dead is a historical reenactment of early settlers that takes place in Greenlawn Cemetery the 2nd Saturday in Sept. The event has sold out in advance for the first 6 years."""
River Forest/Oak Park,Illinois-Eastern Iowa,Community service,Go Baby Go,"""We retrofit toddler electric powered cars to fit small children's individual disabilities."""
Eastvale,California-Nevada-Hawaii,Community service,Earth Day Clean Up,"""We clean up all the road ways in the city of Eastvale in conjunction with other community groups. and youth"""
St Paul-Castlewood,Capital,Community service,Annual Golf Fundraiser,"""This is our biggest fundraiser of the year and funds our little mini projects for the whole year. """
Exuma,Eastern Canada and the Caribbean,Community service,Reading in the Park Back to School Fair,"""The Reading in the Park Back to School Fair was a day packed with excitement, learning, and unforgettable memories! Kids were thrilled by interactive storytime with Kiwanians dressed as beloved characters, enjoyed lively games, and bounced to their heart’s content in the bouncing"""
Dasmariñas North East,Philippine Luzon,Community service,“3in1 project 2018,"""“3in1project2018”"""
Laguna-Elk Grove,California-Nevada-Hawaii,Community service,Stockings for Chemo Patients,"""Our club provides Holiday Stockings to patients receiving chemo or infusion treatments at South Sacramento Kaiser. We have done this since 2015."""
McDowell County,Carolinas,Community service,Swag Bag,"""There are many foster children in McDowell County getting placed in a home. Many of these children arrive with only the clothes on their backs. McDowell County Kiwanis Club has started a Swag Bag program. Our goal is to try to make it easier on these kids and provide them a bag o"""
Rosefloat Of Pasadena,California-Nevada-Hawaii,Community service,Kiwanis Rose Float,"""Kiwanis Rose Float Project - 7,000 volunteers from the Kiwanis family provide over 30,000 hours of service working on floats for Phoenix Decorating ant the Tournament of Roses Rose Parade """
Mill Creek,Pacific Northwest,Community service,Color the World with Kindness,"""At community summer events, the Kiwanis Club of Mill Creek brings its Wall of Kindness.  A wall is filled with acts of kindness for children and adults to take from to pay it forward.  """
Herrin,Illinois-Eastern Iowa,Community service,Family Movie Night,"""We sponsor a free movie night in the park each of the past two falls. The first one drew over 300 people and was very well-received by the community."""
Georgetown,Carolinas,Community service,Field of Honor tribute,"""Partnering with the Georgetown International Paper and teaming up with community leaders, we will honor local, regional and national Veterans of all services by proudly displaying a Field of American Flags. Sponsors will be contributing to support scholarships."""
Calamba City,Philippine Luzon,Community service,Feeding Project,"""Feeding Program for indigent children"""
Tanay Highlands,Philippine Luzon,Community service,K-LOVE PROJECT,"""K-LOVE Project is the SP project of KCTH that aims to provide student support service to the children of Alas-asin Elementary School w/ a two-year MOA. Quarterly activities will be conducted in support of the Alas-Asin ES and its community."""
Greater Lansing Young Professionals,Michigan,Community service,Weekend Survival Kits,"""GLYPK volunteers every month to help pack food bags for food insecure kids to have food on the weekends. """
Concord,California-Nevada-Hawaii,Community service,Taste of Concord,"""Walking stroll of downtown restaurants in October 1-4pm, wineries and breweries !"""
"Young Professionals, Puerto Princesa City",Philippine Luzon,Community service,"Environmental Safety, Anti-bullying and Anti-sexual abuse awareness orientation with feeding and gift giving","""We give orientations to grade 5 and 6 students in every school regarding Environmental Safety, Anti-bullying and Anti-sexual abuse awareness orientation. we also serve snacks and certificate to all participants. """
St. Bess,Eastern Canada and the Caribbean,Community service,Community Blood Donation,"""This project in collaboration with The Cornwall Hospital Blood Bank provides blood collection services in the parish of St.Elizabeth. It facilitate members of the public who are accessing surgical and antenatal services at the Black River Hospital, who would otherwise have to tra"""
Metro Pres. Roxas,Southern Philippine,Community service,FEEDING PROGRAM & DISTRIBUTION OF FACESHIELDS & FACEMASKS,"""Braving the odds leaving the safety of each of our Home's just to serve the Kids of President Roxas. Kiwanis Club of Metro Pres.Roxas giving out 300 Free Face Shields and hundreds of Surgical Masks and Foods for the Kids of Brgy, Ibaca. its quite Challenging to do things for kids"""
Greater Ferguson,Missouri-Arkansas,Community service,PAKT Community Resource Center,"""500 Airport Rd., Ferguson, MO 63135"""
Mohawk Valley Central,New York,Community service,Kiwanis Kids Day,"""We hold a day the kids can play outdoors.  The kids have a chance to play games and have a snack."""
Seneca County,Ohio,Community service,Safety City,"""teaching grade schools kids fire and traffic safety"""
Kanata-Stittsville,Eastern Canada and the Caribbean,Community service,Kids 4 Kids Talent Showcase,"""this Signature Project will highlight through music, song, dance and other means the talents of children in our Community"""
Mercedes Siete Pecados,Philippine Luzon,Community service,"ADOPT A COMMUNITY and HAPPY CHILDREN, BRIGHT FUTURE Project","""This project aims to provide overall community services such to a particular community which include feeding, distribution of school supplies, family values orientation, provision of livelihood, clean environment and the likes."""
Chieti Pescara G. D'Annunzio,Italy-San Marino,Community service,PARCO ATTREZZATO ALLA FONTANA DEI CANNELLI,"""L’obiettivo è quello di migliorare la fruibilità degli spazi in oggetto e dotare il quartiere di un parco urbano progettato con livelli di accessibilità e fruibilità massimi. Un parco a completa cura e manutenzione garantita dall’associazione Kiwanis Chieti Pescara G. D’Annunzio."""
Ascension,Louisiana-Mississippi-West Tennessee,Community service,Bowling Tournament,"""The Kiwanis Club of Ascension's biggest fundraiser is its  Annual Bowling Tournament each May. The event also includes a silent auction and raffle prizes. Proceeds benefit community projects and the children of Ascension Parish."""
Forsyth County,Georgia,Community service,Christmas in July,"""Local charities provide Kiwanis Club of Forsyth County with a Wish List.  We find donations in the community to complete the Wish Lists and provide a donation to each charity. """
Salawag-Paliparan of Dasma City,Philippine Luzon,Community service,"""Share A Love"" ","""Almost a month of preparation, long walk to reach Sitio Malabon.  We were lucky that it didn’t rain but finally when we reached the place it is indeed like a Manger where the Our Beloved Son Jesus was born. We distributed Christmas Noche Buena and had merienda for 300 families"""
Point Pleasant,New Jersey,Community service,Pointsgiving,"""Pointsgiving is a day when we connect local non-profits and the community to engage in hands-on service. Non-profits set up stations where they accept donations, offer hands-on projects, and promote themselves--the community can support any groups they want."""
Northmont,Ohio,Community service,Blood and Food drive,"""We sponsor a blood drive to benefit the Community Blood Center of Dayton Ohio and during this blood drive we also collect food supplies to fill our Blessing Boxes spread throughout the community"""
Hillcrest All-Inclusive,California-Nevada-Hawaii,Community service,Hillcrest Cleanup & Cocktails,"""In partnership with @HillcrestSanDiego, our club helps with a quarterly neighborhood cleanup, followed by a social hour at a nearby restaurant/bar. We attract nearly 100 volunteers per cleanup and welcome everyone to help us build community and make Hillcrest a better place! """
Central Bucks,Pennsylvania,Community service,Willow Knolls Project,"""Providing children in need with backpacksfor the school year, and toys and food and games for the day"""
Candelaria,Philippine Luzon,Community service,Mass Baptism,"""First Sacrament "" Mass Baptism, Lice Treatment and Removal, fun-cake day feeding and Handwashing and drinking facilities for Public School"""
"Damayan Ng Agila, Palawan",Philippine Luzon,Community service,DUGO AY BUHAY,"""The BLOOD LETTING activity that we started last October 30, 2021 with the different Partner Agency and Organization brings more HOPE AND CARE to our brethren as we extend our help to the Philippine Red Cross , Palawan of stocking more blood for emergency purposes. """
Magandang Gensan,Southern Philippine,Community service,Biyaheng Kiwanis (Kiwanis Trips),"""Biyaheng Kiwanis- is a series of travels not only General Santos City but also Far Flung Area in Socsargen. We do some community outreach like feeding,school supplies distribution,giving of slippers,tree growing activity, adopt a community.We conduct also some information drive."""
La Chorrera,Panama (Provisional District),Community service,Caracoral ,"""Proyecto de Servicios Comunitarios a 500 personas, desarrollando el liderazgo y el compromiso de servicio a la comunidad"""
Uniondale United,New York,Community service,Memorial Day Picnic,"""Outdoor barbeque and picnic following the Uniondale community parade.  Free to to all, food, blow-up bouncy house, face painting, arts and crafts, games, music and dancing.  In collaboration with John J. Byrne Foundation, it is held on the grounds of the Uniondale Community Cente"""
CDO Gems,Southern Philippine,Community service,Adopt a Day Care Center: Project Multifunctional Playhouse,"""Nominated Day Care Center to receive: Playhouse, Story & Children's Books, Educational Toys & Play Mats, Feeding Sponsorship, Room Renovations, Colorful Mural Sponsorship, Promote Kiwanis Club CDO GEMS. Once project is fully implemented another Day Care Center will be served."""
"Victory, Cabanatuan City",Philippine Luzon,Community service,Play with a purpose,"""Kiwanis park made of recycled materials for the community that does not have parks"""
"Community Care, NYC",New York,Community service,Neighborhood Watch Program,"""Provide community patrol around the neighborhood to protect children and the community."""
"Bacolor, Pampanga",Philippine Luzon,Community service,Awit at Biyaya,"""Awit means singing at biyaya means blessing. Its a service project of KC BACOLOR wherein we use the christmas season as a bridge to sing and give gifts to chosen families within our community in Bacolor who cannot afford to provide a happy Christmas to their love ones."""
Lucedale,Louisiana-Mississippi-West Tennessee,Community service,Raising funds to provide playground equipment for our local park ,"""We raised funds to purchase playground equipment for our local park.  Our hope is to be able to provide new additions each year to the park as we are financially able to.   """
Kalibo Jewels,Southern Philippine,Community service,Mass Christening,"""As Roman Catholic nation, Fils are known to have a high spiritual fervour.It is believed that once child is baptized, he is cleansed from his original sin and mark his official entry into the church. As a sigpro for ths yr20-21, KC Jewels held a mass baptism for the kids of Aklan"""
Gensan Believers,Southern Philippine,Community service,"Medical Mission @ Barangay Hall San Isidro, General Santos City","""Gensan Believers joined the Medical Mission was held last July 15, 2023 at Barangay Hall San Isidro, General Santos City, Philippines.. We served foods to the community specially the children, We have assisted the consultations, giving of vitamins & medicines, circumcisions, etc."""
Middle Village,New York,Community service,Community Partnerships,"""Expansion of youth services throughout Middle Village by partnering with CBO's and the NYPD.     This will include a family event and other engagement activities."""
Queens West Pride,New York,Community service,Blessing Bags,"""Blessing bags are more than just kits - they're acts of kindness wrapped in essentials. They provide crucial items to those in need, offering support to people experiencing homelessness, hunger, or other basic needs. """
Madayaw Agila Dabaw,Southern Philippine,Community service,"FEEDING PROGRAM:  NOURISH TODAY, THRIVE TOMORROW","""It encapsulates the mission of KC Madayaw Agila Dabaw as we work within the community to serve children. It signifies the club's commitment to providing nourishment thru feeding programs, which in turn supports the children's ability to grow, learn and thrive in the future. """
Ankeny,Nebraska-Iowa,Community service,Ankeny Kiwanis Miracle League and Miracle Kids Programs,"""Ankeny Kiwanis is lead volunteer group for the local Miracle League program and provides 'extras' (participant medals, post season parties). AKC provides other programming for 'Miracle Kids' - kids/adults with special needs and their families. """
Barbican,Eastern Canada and the Caribbean,Community service,SET-P (School Environment Transformation Project),"""Our overall aim is to improve the School's environment through the following: (1) Creating a fun and educational playground mural that will assist the children, especially preschoolers to identify the alphabets and numbers. (2) Assist the school"""
Laguna Benevolence,Philippine Luzon,Community service,GreenGeneration,"""The club is going to provide every barangay of San Pedro, Laguna, large trash cans for plastic bottled beverages that usually thrown everywhere. It can be a source of fund for the barangay and they can use the bottles for some recycled projects of barangay."""
Wellington,Florida,Community service,Kiwanis Karnival,"""Kiwanis Club of Wellington puts on a mini carnival. We have games and prizes and food. We also invite local Police and Fire to interact with children. """
Avon,Indiana,Community service,Rib Fest - Strawberry Shortcake Sale,"""We are known for the Stawberry Shortcake stand at the Hendricks County Rib Fest. It is sought out yearly having a waiting line. One year we even ran out! """
Buckeye,Southwest,Community service,Kiwanis Community Garden,"""We currently partner with VCRC on projects including opening our Sprouted Seeds Community Garden thanks to the donation of garden beds by the Litchfield Kiwanis Club."""
Valley Stream,New York,Community service,An SLP Club & Little Free Library in Every School!,"""Donating Little Free Libraries/books to our schools, increases our students access to literature. Chartering SLP Clubs, provides our students access to leadership development & character-building programs & provides opportunities for our students to serve, lead, grow & belong."""
Freyja Sauðárkrókur,Iceland-Faroes,Community service,Freyjugarður ,"""A family garden where the family can have a good time and enjoy being together, the plan is to build a large and elaborate family garden where grandma and grandpa can also play and there will be space for a toilet and a stage, hopefully this will become a reality"""
White Bear Area,Minnesota-Dakotas,Community service,Great Day of Service,"""A day designated to developing middle and high school youth leadership in service to community projects throughout the district such as serving underprivileged youth and families, unhoused and individuals facing food insecurity. """
Douglaston,New York,Community service,Everyday is Earth Day.,"""A mission to educate our members and park goers to keep the park clean and lessen our impact on the environment. Our members are tasked to clean the lawn, where much debris is left by the public. The event is hosted by Alliance for Flushing Meadows Corona Park."""
Dutchess County Christian Churches,New York,Community service,Faith Fest,"""Bringing together children and the community for a day of worship, faith, fun through music & fellowship."""
Tanglaw Ng Rizal,Philippine Luzon,Community service,Print the Art Project,"""This is for the exclusive use of 30 Art students of Church So Blessed Taytay to print their artworks and designs to eventually sell them for a profit. Thereby helping them for self sufficiency."""
Trafalgar,Eastern Canada and the Caribbean,Community service,Yatzh Project,"""Children will be feted, given school supplies, face painting and doing fun actives, dental cleaning for children and check-up for adults and children. This project is held every August of each year, at Maxfield Church of God, Maxfield Road, Kingston."""
East Fork Region,Ohio,Community service,The Kiwanis Club of East Fork Region - Presents:  Fields of Honor,"""Our Fields of Honor was our way to connect with the communities in which we serve"""
Lucena Kalilayan,Philippine Luzon,Community service,"K-Jipney, Kalilayan's Partner in Service","""K-Jipney is a passenger jeepney that serves and delivesr various services to children to promote their well-being pertaining to education literacy, health and wellness, safety, emotional stability and spiritual fulfillment. It is one of the top 10 finalists in KI Sig-Proj C"""
Malverne,New York,Community service,Gratitude and Holiday Cheer ,"""We host events to encourage the Malverne community to create holiday cards for soldiers who are away. We also fundraise to send holiday cookies as well. """
Nakivale,Non-Districted Africa,Community service,Water is Life in Nakivale Refugees Camp (WIL PROJECT) ,"""WIL PROJECT is a Kiwanis project in Nakivale,created last year after noticing that many people are suffering from diseases related to the use of unsafe drinking water. The mortality rate in the community is very high, reaching up to 30% due to the consumption of this unsafe water"""
Apache Junction,Southwest,Community service,Lost Dutchman Days Rodeo ,"""We will sponsor up to 25 children and their parents to attend one day of the rodeo and provide the children with a free sandwich, a side treat and a drink. """
Westford,New England and Bermuda,Community service,Westford Apple Blossom Festival ,"""Our major fundraiser and signature project is the annual  Westford Apple Blossom Festival.  We host a carnival, organize a parade and provide a fireworks show for our community.  """
Pride of Barbados,Eastern Canada and the Caribbean,Community service,A Gift for you- 12 days of Christmas,"""nity Services and Food and Assistant Bank today we launch A GIFT FOR YOU! The Kiwanis Club Pride of Barbados #12daysofChristmas Project. to rebuild and spread the good news across social media. Links to FB and IG below. The President wished everyone a great and productive week an"""
Jackson River Area,Capital,Community service,Jackson River Duck Race,"""Rubber ducks race down the Jackson River during our annual fundraiser supporting the club’s community projects.  Along with community partners the race is held during Alleghany County’s River & Trail Day festival with activities for all ages, food trucks, river floats and more!"""
"Kralendijk, Bonaire",Eastern Canada and the Caribbean,Community service,Baby & Mom Essential Box,"""Organize a donation drive by for baby & mom essentials such as hygiene products, food supplies, clothing and toys & books to mention a few. These donations are matched by the donation from the club. Work together with the Center for Family for the list of mothers and babies."""
Kalamazoo,Michigan,Education/local school,Kalamazoo Nature Playscape,"""Located in the heart of the city and provides a touch of nature to intercity children. The playscape includes a stream, nature trail and program areas."""
"Grant County, Indiana",Indiana,Education/local school,BUG,"""Reward every 5th and 6th grader who brings up gredes each period"""
Mansfield,Ohio,Education/local school,Friendly House,"""Friendly House provides an affordable and safe program for the youth of the community to attend. Over the years, we helped build cabins, painted and cleaned facilities. We raised money for a mini bus to transport children to the center. We help with an annual Christmas party."""
Terre Haute,Indiana,Education/local school,Wabash Valley Middle School Geography Quiz Bowl,"""Academic competition between middle school student teams covering a different part of the globe each year. The competition is 37 years old and is held in early March. """
Tonawandas (The),New York,Education/local school,Student Recognition Lunceon,"""Our Club sponsors a luncheon for students from our two area high schools, selected by teachers, counselors , etc.  One student is selected from each school in each of several disciplines.  Passion for the discipline, attitude and work ethic are strongly considered; not simply gpa"""
Rock Hill,Carolinas,Education/local school,Terrific Kids Program,"""Monthly presentations are held in all local public and private schools to recognize students who have improved in any variety of areas. Club members serve as volunteers in all the schools and are part of the monthly presentations, normally held in front of parents and families."""
Fayetteville,Carolinas,Education/local school,Reading is Fun,"""books to K"""
Vidalia,Georgia,Education/local school,Bringing Up Grades Celebration ,"""A celebration once or twice yearly depending on the request of the school. We have a pizza party celebration for children at local elementary school who have brought up a lower grade to a passing, acceptable greade. Sometimes this is the only recognition the child receives """
Cordele,Georgia,Education/local school,Art and Talent Show,"""We have an annual talent show for children grades kindergarten through 12th grade. We also have a Art show for high school students."""
Peterborough,Eastern Canada and the Caribbean,Education/local school,"""RESPECT"" Program","""We have partnered with the Peterborough Humane Society to sponsor this new program where children learn to treat animals with care and respect which will transition their earned behaviour to not only respect the animals but also siblings, parents and others in the community."""
Reno,California-Nevada-Hawaii,Education/local school,University of Nevada-Kiwanis Scholarships,"""UNR Foundation Scholarships established by the Kiwanis Club of Reno & The Frank Sweder Kiwanis Club of Reno Scholarships are annually granted to UNR Reno Students on an annual basis. Funding for the Scholarships are funded from investment proceeds managed by the UNR"""
Downey,California-Nevada-Hawaii,Education/local school,Downey Kiwanis Foundation Scholarship Banquet,"""The Downey Kiwanis Foundation grants over $130,000 in college scholarships to graduating high school seniors from Downey High School, Warren High School, Lakewood High School, and Columbus High School.  The Downey Kiwanis Club holds an annual banquet to honor the recipients."""
Berwick,Pennsylvania,Education/local school,Scholarship Awards,"""Program is funded by our annual citrus sale held each November and December"""
Hickory-Palos Hills Area,Illinois-Eastern Iowa,Education/local school,Encourage Excellence Student Awards,"""Recognition of the ""Most Improved"" male and female student at the highest grade level from each community school.  Includes an awards luncheon where the recipients get a lunch, a certificate and a gift card.   A parent and a school representative are our guests also."""
Borger,Texas-Oklahoma,Education/local school,Constitution Day,"""Each year on or near Constitution Day, the club distributes personalized copies of the US Constitution and Declaration of Independence to each high-school senior in Hutchinson County."""
Prescott,Missouri-Arkansas,Education/local school,Kindergarten Reading Program,"""To encourage the love of books and early literacy, every other  week Kiwanis members read to kindergarten classes as scheduled by the school."""
Hixson,Kentucky-Tennessee,Education/local school,Grant Program,"""A distribution of funds by type school. We serve 6 elem., 2 jr high and 1 high school"""
Steger,Illinois-Eastern Iowa,Education/local school,Student Achievement Awards,"""Recognition to students who during any one of the three quarters of the school year show an improvement  in their grades and behavior. A boy and girl will be selected by teachers from each grade of 6, 7 and 8 graders."""
Merrick,New York,Education/local school,Supporting Children in Need,"""We provide the exact requested school supplies with a backpack and gift card to get some new clothing for the start of the year.  At the December holidays, we provide food and toys to the children/families in need idenified to us by the school districts. """
Fort Wayne,Indiana,Education/local school,Kiwanis Terrific Kids,"""Terrific Kids is a Kiwanis program that recognizes outstanding achievement in children grades K-5.  Our club serves 10 Fort Wayne Community Schools with this program and presents medals and certificates to the children selected by their teacher to receive this award."""
De Pere,Wisconsin-Upper Michigan,Education/local school,IPads for youths,"""AAwarding Ipads and software to Autistic students to enhance learning and communications"""
Mississauga South,Eastern Canada and the Caribbean,Education/local school,Back to School Backpacks ,"""Purchase and supply 150 Backpacks to the community.  We raised funds in conjunction with Staples .  We then analyzed the needs for grades 1-6 and high school students.  We purchased various items and put together backpacks to distribute.  Budget $18,000"""
Marshfield,Wisconsin-Upper Michigan,Education/local school,K.E.E.P.,"""Kids have opportunity to play on large equipment such as fire trucks, dumpsters, etc."""
Springville,New York,Education/local school,Springville Pageant of Bands,"""Band competition coordinated with Springville Griffith Institute Band members. Approximately 12-15 regional bands meet to compete in jazz, concernt and marching band competitions."""
"Mercury 64, Hampton",Capital,Education/local school,New Teacher's Breakfast,"""Every year for the past  59 years our club has hosted a breakfast for the new teachers to the Hampton City School District. The Mayor of Hampton and the School Superintendent give remarks welcoming the new teachers. A number of door prizes from the local merchants are given out."""
"Alameda West, Jefferson County",Rocky Mountain,Education/local school,The Write Stuff,"""Students in some of our schools don't have the money to buy more school supplies after Winter Break. We provide more pencils, paper, and either crayons or colored pencils to all of the students in eleven elementary schools in Jefferson County Colorado"""
Rock Valley,Nebraska-Iowa,Education/local school,Progressive Ag Safety Day,"""The Rock Valley Kiwanis Club organizes the annual Progressive Ag Safety Day held each May for third graders from three local schools. Kids learn to be safe around electricity, equipment, animals, guns, fires and also learn how to call 911 if an emercency happens."""
Downtown Athens,Ohio,Education/local school,Smart Start,"""Financial assistance to all Athens County kindergarten teachers for materials and supplies to ensure a Smart Start """
Selma,California-Nevada-Hawaii,Education/local school,Fair Ag Booth,"""we grow, harvest and collect over 50 varietites of grapes to display at the Frenso County Fair."""
Green Mountain,Rocky Mountain,Education/local school,School Supplies,"""School Supplies"""
Metro Rizal,Philippine Luzon,Education/local school,Alternative Learning System w/ DepEd Tayo Blue Rizal  Muzon Elementary School,"""Provide learners access to non-formal and informal sources of knowledge and skills through the Alternative Learning System program of the Department of Education. The project will be providing lectures on Basic Appliance Repair. and Basic Electrical Installation"""
"Grimsey, Grimur",Iceland-Faroes,Education/local school,Grunnskoli Grimseyjar,"""Helping children at local school"""
Hollister,California-Nevada-Hawaii,Education/local school,Working with the Key Club of San Benito High School,"""Working with the Key Club of San Benito High School"""
North Port,Florida,Education/local school,Do the Right Thing,"""The Club teamed up with the North Port Police Department, the School Board Police & Holly's Hope to honor students for making good choices and doing lifesaving measures to help others. Student are honored."""
Antipolo West,Philippine Luzon,Education/local school,LEADERSHIP MEDAL,"""Leadership Excellence Medals given to selected elementary and high school students .   There are  now three schools in Antipolo receiving the Kiwanis Club of Antipolo West  Leadership Excellence Medals.  The project  has been  going on for 32 years."""
"Denham Springs, West Livingston",Louisiana-Mississippi-West Tennessee,Education/local school,ACT Review,"""Club sponsors an 8 week ACT review for 20 high school students to imporve score to increase college admission and scholarship opportunities"""
"Amputi Layag, San Carlos City",Philippine Luzon,Education/local school,Adopt a Barangay Child Development Center (ABCDeC),"""The Club Signature Project aims to protect and encourage children focus on positive behavior. To help develop their confidence and learn  to value themselves and others through play & learn. To provide opportunities for creative & imaginative where they explore their own identity"""
Alger County,Wisconsin-Upper Michigan,Education/local school,Clear Lake Education Center,"""Every spring Kiwanis of Alger County helps open Clear Lake for the season.  Tasks include cleaning, raking, some maintenance and preparing for students for the season.  Key Club of Munising also volunteers.  """
North Macon,Georgia,Education/local school,Kindergarten Sponsorship,"""We sponsor the Kindergarten Classes at Rosa Taylor.  Our club helps with special events: carve pumpkins - give out books at Christmas - give out pencils on Valentine's Day - hide eggs for the Easter Egg Hunt."""
Sunrise Butte,Montana,Education/local school,Bring Up Grades,"""Our club recognizes students in 3rd - 6th graders who have brought up at least 1 grade without letting any grades fall."""
George,Nebraska-Iowa,Education/local school,Crayons for Haiti,"""We send approx. 3T of recyled crayons, rulers, erasers, scissors, and other school supplies for shipment to schools in Haiti, and other needy parts of the world.  We are assisted in the shipping efforts by Orphan Grain Train, of Norfolk, NE"""
Cuba,Missouri-Arkansas,Education/local school,Book Buddies,"""Donate three books each month to the Cuba Elementary Library during the school year."""
Lincoln Southeast,Nebraska-Iowa,Education/local school,Back to School Back Packs ,"""We purchase backpacks and school supplies needed for over 200 children identified through the Food Fort  Program in Lincoln Nebraska """
"Junction City, South",Kansas,Education/local school,Most Improved Student Program,"""Each month during the school year, each of the 14 elementary schools in our community select one student to be the Most Improved Student for the month. Each student is awarded a medal by the Mayor prior to a city commission meeting. The ceremony is broadcast our local TV channel."""
Kewanee,Illinois-Eastern Iowa,Education/local school,Kiwanis Career Day,"""All Kewanee and Wethersfield high school seniors participate in a day long tour of local business in the career path that interests them. """
Edmonds ,Pacific Northwest,Education/local school,Annual Dictionary Distribution,"""Distribute dictionaries to all third graders at each of the  8 schools in Edmonds and 2 in Lynnwood. """
"Eastern Kingston, Port Royal",Eastern Canada and the Caribbean,Education/local school,Port Royal Back to School Children's Treat,"""Eastern Kingston and Port Royal hosted the Port Royal Back to School Treat on January 21, 2024. 120 children benefited from school supplies and refreshment, with 18 members and 10 SLPs in KI branded shirts."""
Rapid City,Minnesota-Dakotas,Education/local school,The Shoe Project,"""We work with the school Title I-D staff, Target and the Stearns Grant to provide K-12 economically disadvantaged students with a pair of shoes and five pairs of stocking.  If the student's growth rate requires a new pair of shoes during the year, the Title Program assists."""
Homewood-Mountain Brook,Alabama,Education/local school,Speed Stampede 2 Mile Run/Walk,"""This community run/walk is to support education in Maranathan Academy which is a ""last chance"" school for seriously at risk high school youth. """
Gig Harbor,Pacific Northwest,Education/local school,Kiwanis Cares for Kids (KCK),"""The Kiwanis Club of Gig Harbor works closely with the 17 schools of the Peninsula School District to provide clothes and shoes for kids in need - but also for field trips, books, flexible classroom seating and extracurricular activities such as sports, music and camp."""
"Sheraden, Pittsburgh",Pennsylvania,Education/local school,Monthly incentives for perfect attendance at school,"""At Pittsburgh Langley & Classical Academy we started a Terrific Kids program for perfect attendees."""
"Goshen, Maple City",Indiana,Education/local school,Tools4Schools,"""Give free supplies to teachers for classrooms"""
Belton,Texas-Oklahoma,Education/local school,Citizenship Awards,"""Each year, our club invites the staff of each elementary and middle school in the Belton Independent School District to select a 5th/8th grade student who displays qualities including respect, responsibility, service, and helpfulness. The award is highly esteemed by students."""
Pell City,Alabama,Education/local school,Teacher of the Month,"""Honor a teacher each month and award them with $100 to spend in their classroom"""
Palm Beach,Florida,Education/local school,Student Of The Month,"""During the academic year of 3 local lower & middle schools, we host 1 student, 1 faculty member and 2 parents each month for an awards luncheon where the students make a speech about their scholarship, character and leadership potential and we award each student $100. """
Fort-De-France,Eastern Canada and the Caribbean,Education/local school,Cartes scolaires et sacs à dos,"""Le club de Fort de France offre à chaque rentrée scolaire  des sacs à dos (environ 150 )  ainsi que du matériel scolaire à 12 familles et aussi des cartes de 50 euros pour effectuer les achats de matériel scolaire durant l'année scolaire."""
Duarte,California-Nevada-Hawaii,Education/local school,CHIK - Community Homeless Initiative for Kids,"""There are over 100 children defined as ""homeless"" in the Duarte School District.  We partner with the Community Resources within the School District to provide needed supplies for these kids"""
Grand Valley-Parachute,Rocky Mountain,Education/local school,Winter Ecology,"""Learning winter ecology and personal safety for all 4th graders"""
"South Lansing, Michigan",Michigan,Education/local school,Reo Elementary School,"""We adopted Reo Elementary School in 2017. We began with the Dictionary Project, then provided tutoring and library support (books and manpower). We now provide meals through the Weekend Survival Kit program."""
St. John's,Eastern Canada and the Caribbean,Education/local school,Kiwanis Club IG Wealth Management High School Short Story Contest,"""Promotes literacy enhancement and writing creativity through writing a short story to be judged by working authors."""
Hyannis,New England and Bermuda,Education/local school,Backpack giveaway,"""backpack handouts to students going back to school"""
Summerville,Carolinas,Education/local school,Terrific Kids,"""Terrific Kids is a Kindergarten through fifth grade program in seventeen elementary schools in the Summerville Community. Each month during the school year each classroom selects a student who exemplifies good citizenship, helpfulness, and work ethic. """
Kennewick,Pacific Northwest,Education/local school,"Amistad Elementary ""Breaking the Cycle of Poverty""","""Our club supports multiple programs at Amistad Elementary School, a school that needs Kiwanians. Lunch Buddies, Pen Pals, K-Kids, Terrific Kids, Spring Football, and Girls on the Run are several of the programs our members volunteer with to make a difference in our community."""
Tracy,California-Nevada-Hawaii,Education/local school,Tracy D.A.R.E. Board Inc,"""We sponsor the program for all 5th grade students in Tracy and surrounding areas"""
Greater Millsboro,Capital,Education/local school,Terrific Kids in Greater Millsboro,"""Greater Millsboro Kiwanis supports Terrific Kids chapters in the local Long Neck Elementary school.  As part of this support, the club provides the school with educational supplies, gift card incentives for the students, Christmas gifts and resources for needy families."""
West Visalia,California-Nevada-Hawaii,Education/local school,Honor Roll,"""Student of the month/year at Crowley Elementary and Willow Glen Elementary."""
Port of Duluth,Minnesota-Dakotas,Education/local school,Kaleidoscope,"""Partnering with the Duluth Public Library, our club provides monetary support and member involvement for the two free Kaleidoscope children's programs held each Tuesday in July at the library's outdoor plaza. Guest artists entertain the children with music, magic, and motion."""
